title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
Song To The Siren,,song-to-the-siren,song-to-the-siren,SONG TO THE SIREN,S,Tim Buckley,Tim Buckley,
Sorry,,sorry,sorry,SORRY,S,Krukowski/Wareham/Yang,,Well I'm sorry about the weather<br />And I'm sorry that the drive was much too far<br />Seems like everything is business<br />And were sorry all the time<br /><br />But when we're home (all alone)<br />What is home (on your own)<br />Home is home (all alone)<br />Where we love the weather<br /><br />Are you sorry that you love me<br />Am I sorry that I love you too<br />Seems it doesnt make a difference<br />That we're sorry all the time<br /><br />But when we're home (all alone)<br />What is home (on your own)<br />Home is home (all alone)<br />Where we love the weather<br /><br />All alone (what is home)<br />On my own (what is home)<br />All alone (on your own)<br />And I love the weather
Spanish Odyssey,,spanish-odyssey,spanish-odyssey,SPANISH ODYSSEY,S,,,
Speedbumps,,speedbumps,speedbumps,SPEEDBUMPS,S,,,"We were brown and we were down<br />We were black and we were slack<br />We are digging us a hole<br />There is nothing in this bowl<br />On the way, to Kansas C.<br />Who are we supposed to be?<br />It's raining rain, it's raining snow<br />Tell me where you wanna go<br /> <br />I don't want to take your call<br />I refuse to climb your wall<br />I don't want to ride your bus<br />I am tired of all of us<br />On the way, to Kansas C.<br />Who are we supposed to be?<br />It's raining rain, It's raining snow<br />Tell me where you wanna go"
Spirit of Love,,spirit-of-love,spirit-of-love,SPIRIT OF LOVE,S,Clive Palmer,Clive Palmer,
Split Screen,,split-screen,split-screen,SPLIT SCREEN,S,Krukowski/Yang,,
Spook,,spook,spook,SPOOK,S,Krukowski/Wareham/Yang,,When you went blind<br />Then I nearly lost my mind<br />It didn't last<br />Cause you have another eyelid<br /><br />And when you smile<br />Then you give yourself away<br />It's all too much<br />And you have another eyelid<br /><br />But when you cry<br />Then I know we are in trouble<br />It's all too much<br />And you have another eyelid
Star Spangled Man,,star-spangled-man,star-spangled-man,STAR SPANGLED MAN,S,,,High speed train<br />French cocaine<br />Comfort Station<br />Show and tell<br />Tell me something nice<br />Striped ties<br />Denim suit<br />Dirty windshield<br />Snakeskin boot<br />Tell me somthing good<br /> <br />I am waiting for a sign<br />I am waiting for a sign<br /> <br />Steven Sprouse<br />Chairman mouse<br />Chow yun fat<br />Geronimo pratt<br />Tell me something nice<br />Unknown treasures<br />Unknown tricks<br />Unknown pleasures<br />I feel six<br />Tell me something good
Starman,,starman,starman,STARMAN,S,David Bowie,David Bowie,
Stars Never Fade,,stars-never-fade,stars-never-fade,STARS NEVER FADE,S,Krukowski/Yang,,"The world through your eyes looks so elegant<br />That perfect slanting light, the satin gowns<br />Could it really be - such a place of harmony?<br />And the stars glitter off your walls<br />And your stars never fade at all<br />The moment is caught, saved forever<br />That gaze in the glass, the shadowed room<br />Could it really be - or is it trick photography?<br />And the stars glitter off your walls<br />And your stars never fade at all<br />Your daughters are there, full of tenderness<br />That introspective look you know so well<br />Could it really be - such a happy family?<br />And the stars glitter off your walls<br />And your stars never fade at all"
Still At Home,,still-at-home,still-at-home,STILL AT HOME,S,,,"The little girl, the black fields<br />Never had a way to deal with her old man<br />Now you need her, you could try it<br />You could burst up through the floorboards<br />And maybe then....<br /> <br />I got a cold master and she's gonna tell you<br />She's gonna break my back with a bit of<br />amusement, oh man<br />We're holding hands<br /> <br />So, if the words get in the way<br />Hold the silence but just don't stay there<br />You're in the sand<br />When everything comes crying to you<br />Way bye bye, goodbye to holding hands<br /> <br />You've got to sell it over and I'm gonna buy you<br />I got a television with so many lines to bet on<br />She hasn't come home<br />Bobby, I'm still at home<br /> <br />I've got a cold master and she's gonna tell you<br />She's goona break my back with a bit of<br />amusement, oh man<br />Can we make amends?<br />Bobby, I'm still at home"
Straight Up,,straight-up,straight-up,STRAIGHT UP,S,Elliot Wolff,Paula Abdul,Lost in a dream<br />Don't know which way to go<br />If you are all that you seem<br />Then baby I'm moving way too slow<br /><br />I've been a fool before<br />Wouldn't like to get my love caught<br />In the slammin' door<br />How about some information--please<br /><br />Straight up now tell me<br />Do you really want to love me forever oh oh oh<br />Or am I caught in a hit and run<br />Straight up now tell me<br />Is it gonna be you and me together oh oh oh<br />Are you just having fun<br /><br />Time's standing still<br />Waiting for some small clue<br />I keep getting chills<br />When I think your love is true<br /><br />I've been a fool before<br />Wouldn't like to get my love caught<br />In the slammin' door<br />How about some information--please<br /><br />Straight up now tell me<br />Do you really want to love me forever oh oh oh<br />Or am I caught in a hit and run<br />Straight up now tell me<br />Is it gonna be you and me together oh oh oh<br />Are you just having fun<br /><br />You are so hard to read<br />You play hide and seek<br />With your true intentions<br />If you're only playing games<br />I'll just have to say--bye bye bye bye bye bye bye bye bye<br /><br />Do do you love me<br />Do do you love me<br />Do do you love me<br />Do do you love me<br /><br />I've been a fool before<br />Wouldn't like to get my love caught<br />In the slammin' door<br />Are you more than hot for me<br />Or am I a page in your history-book<br />I don't mean to make demands<br />But the word and the deed go hand in hand<br />How about some information--please<br /><br />Chorus cont.<br /><br />I've been a fool before<br />Wouldn't like to get my love caught<br />In the slammin' door<br />Are you more than hot for me<br />Or am I a page in your history-book<br />I don't mean to make demands<br />But the word and the deed go hand in hand<br />How about some information--please<br /><br />Chorus out
Strange,,strange,strange,STRANGE,S,Krukowski/Wareham/Yang,,"Why's everybody actin funny?<br />Why's everybody look so strange?<br />Why's everybody look so nasty?<br />What do I want with all these things?<br /><br />I went along down to the drugstore<br />I went out back and took a Coke<br />I stood in line and ate my Twinkies<br />I stood in line, I had to wait<br /><br />Why's everybody actin funny?<br />Why's everybody look so strange?<br />Why's everybody look so pretty?<br />What do I want with all these things?<br /><br />I went along down to the drugstore<br />I went out back and took a Coke<br />I stood in line and ate my Twinkies<br />I stood in line, I had to wait"
Strawberry Stain,,strawberry-stain,strawberry-stain,STRAWBERRY STAIN,S,Dean Wareham,,
The Struggle Continues,,the-struggle-continues,,STRUGGLE CONTINUES,S,Naomi Yang,,
Submission,,submission,submission,SUBMISSION,S,Rotten/Cook/Jones/Matlock,Sex Pistols,I'm on a submarine mission for you baby<br />I feel the way you were going<br />I picked you up on my TV screen<br />I feel your undercurrent flowing<br /><br />Submission going down down<br />dragging me down<br />Submission I can't tell ya what I've found<br /><br />You've pot me pretty deep baby<br />I can't figure out your watery love.<br />I gotta solve your mystery.<br />You're sitfing if out in heaven above.<br /><br />Submission going down down<br />dragging me down<br />Submission I can't tell ya what I've found<br /><br />For there's a mystery.<br />Under the sea... Under a water come<br />(share it)<br /><br />Submission going down down<br />dragging me down<br />Submission I can't tell ya what I've found
Sucking Ice Cubes,,sucking-ice-cubes,sucking-ice-cubes,SUCKING ICE CUBES,S,,,
Summertime,,summertime,summertime,SUMMERTIME,S,Krukowski/Wareham/Yang,,Nighttime at the pool bar<br />And I'm walkin' home with you<br />The heat is just delicious<br />And you know just what to do<br /><br />Morning is so perfect<br />But the noontime makes me tired<br />Walking in the park now<br />And I'm so glad that you were fired<br /><br />Going to the movies<br />I found a shelter from the sun<br />Heard a gruesome story<br />About a couple on the run
The Sun Is Still Sunny,,the-sun-is-still-sunny,the-sun-is-still-sunny,SUN IS STILL SUNNY,S,,,
Sunrise,,sunrise,sunrise,SUNRISE,S,,,
Sunrise Variations,,sunrise-variations,sunrise-variations,SUNRISE VARIATIONS,S,,,
Sunset One,,sunset-one,sunset-one,SUNSET ONE,S,,,
Sunset Two,,sunset-two,sunset-two,SUNSET TWO,S,,,
Sunset Variations,,sunset-variations,sunset-variations,SUNSET VARIATIONS,S,Wayne Rogers,,
Superfreaky Memories,,superfreaky-memories,superfreaky-memories,SUPERFREAKY MEMORIES,S,,,Well they're swapping pharmaceuticals in Mussolini Park<br />And they're wigglin' and wobbilin' and dozin' in the dark<br />And it's winter in New Jersey and it's Christmas in New York<br />With a giggle and a stare and a bottle and a cork<br />And Kristina took your photo with a needle and a spoon<br />But she said we got to hurry cos her dad will be home soon<br />And these superfreaky memories have put me in my place<br />But then my superfreaky memories are gone without a trace<br /><br />Please excuse my eyes<br />Please excuse my hands<br />Please excuse my eyes<br />Put me in my place<br /><br />In a dirty little room in a nasty little world<br />You were out of your mind you were throwin' up your hands<br />You were makin' crazy plans left a message on the mirror<br />And your mouth was making words but there was nobody there<br />Now the gears are rolling by and you don't get any wiser<br />And the years are rolling on but you're going round and round<br />And these superfreaky memories have put me in my place<br />But my superfreaky memories are gone without a trace
Swedish Fish,,swedish-fish,swedish-fish,SWEDISH FISH,S,,,"I'm so tired I did it again<br />Trucks are on strike<br />And I slept on train<br />There's evil in Sweden<br />And Evil in Spain<br />Drinking my lunch all over again<br /><br />Goddess of Shadow<br />Lipstick and Scent<br />Where did you land?<br /><br />Apricot candles and blackberry pie<br />Is it a time bomb I see in your eye<br />I want you forever, forever tonight<br />Pulling your hair and holding you tight<br /><br />Goddess of shadow<br />Lipstick and scent<br />Where did you land?"
Sweet Child o' Mine,,sweet-child-o-mine,sweet-child-o-mine,SWEET CHILD O' MINE,S,Slash/Rose/Stradlin/McKagan/Adler,Guns ''n' Roses,She's got a smile that it seems to me<br />Reminds me of childhood memories<br />Where everything<br />Was as fresh as the bright blue sky<br />Now and then when I see her face<br />She takes me away to that<br />special place<br />And if I stared too long<br />I'd probably break down and cry<br /><br />Sweet child o' mine<br />Sweet love of mine<br /><br />She's got eyes of the bluest skies<br />As if they thought of rain<br />I hate to look into those eyes<br />And see an ounce of pain<br />Her hair reminds me<br />of a warm safe place<br />Where as a child I'd hide<br />And pray for the thunder<br />And the rain<br />To quietly pass me by<br /><br />Sweet child o' mine<br />Sweet love of mine<br /><br />Where do we go<br />Where do we go now<br />Where do we go<br />Sweet child o' mine
Sweetness,,sweetness,sweetness,SWEETNESS,S,"Anderson, Bailey, Squire",Yes,
Tanka,,tanka,tanka,TANKA,T,,,
Teen Angel,,teen-angel,teen-angel,TEEN ANGEL,T,Donovan Leitch,Donovan,
Teenage Lightning,,teenage-lightning,teenage-lightning,TEENAGE LIGHTNING,T,,,I've got pills that make me cranky<br />I've got pills that make me cry<br />I've got crooked information<br />Tiny nightmares in the sky<br /><br />Rest your head upon my pillow<br />Put my hand inside your pants<br />You can have it if you want it<br />If you'd like to take a chance<br /><br />I can hypnotize a pancake<br />I can levitate the pope<br />I can make your teacher crazy<br />Cuz its all within my scope<br /><br />Rest your head upon my pillow<br />Put my hand inside your pants<br />You can have it if you want it<br />If you'd like to take a chance<br /><br />Teenage lightning in the basement<br />Teenage lightning in the night<br />Teenage lightning on my window<br />Teenage lightning is alright
Tell Me,,tell-me,tell-me,TELL ME,T,Krukowski/Wareham/Yang,,Tell me one more time<br />You like the shoes I wear<br />Tell me as you leave<br />You really couldn't care<br />I bought all the drinks<br />And I paid for your friends<br />Jesus can't you see<br />I'm goin round the bend?<br /><br />Step into my shoes<br />And see things as I do<br />Step inside this house<br />You know I'd love you to<br />How come you can't see<br />The things you left behind?<br />How come you can't see<br />I'm goin round the bend?
Temperature's Rising,,temperatures-rising,temperature-s-rising,TEMPERATURE'S RISING,T,Krukowski/Wareham/Yang,,"My temperature's rising, my fingers are tingling<br />I'm starting to shake<br />I look in the mirror and everything's funny<br />I think you're a fake<br />Why did I do it, how could I say that<br />I wanna come down.<br />Everything's swirling and I just forgot<br />Why I came to this town<br /><br />So now I think I'm all tied up<br />So now I think I'm tangled up<br />Oh, no and I can't see no more<br />Oh, no and I can't see no more<br /><br />My temperature's rising, my fingers are tingling<br />I'm starting to shake<br />I look in the mirror and everything's funny<br />I think I'm a fake<br />Why did I do it, how could I say that<br />I wanna come down.<br />Everything's swirling and I just forgot<br />Why I came to this town<br /><br />So now I think I'm all tied up<br />So now I think I'm tangled up<br />Oh, no and I can't see no more<br />Oh, no and I can't see no more"
Thank You for Sending Me an Angel,,thank-you-for-sending-me-an-angel,thank-you-for-sending-me-an-angel,THANK YOU FOR SENDING ME AN ANGEL,T,David Byrne,Talking Heads,"oh, oh, oh<br />oh baby you can walk<br />you can talk just like me<br />you can walk/talk just like me<br />you can look<br />tell me what you see<br />you can look<br />you won't see nothin' like me<br /><br />oh, oh, oh<br />oh baby you can walk<br />you can talk just like me<br />little girl you can walk/talk just like me<br />if that's what's you wan't to do<br />and you can look<br />you walk in circles around me<br />but first, i'll walk in circles around you<br /><br />round we go<br />round the world we go<br />aye aye aye aye......<br />you can walk girl<br />you walk in circles around me<br />but first...<br />show me what you can do"
That's What You Always Say,,thats-what-you-always-say,that-s-what-you-always-say,THAT'S WHAT YOU ALWAYS SAY,T,Wynn,Dream Syndicate,I told you that we've been through this but<br />You know I told you that before<br />I try to find out where we missed but<br />I gets to be such a bore<br /><br />Cause ever since that time I told you so<br />Well something gets my eye and it won't let go<br />And then the stories and words are here and gone<br />Well that's what you always say<br /><br />I try to sit and talk with you but<br />You know how moods change all the time<br />I try to wait a week or two but<br />By then I'll probably change my mind<br /><br />Cause ever since that time I told you so<br />Well something gets my eye and it won't let go<br />And then the stories and words are here and gone<br />Well that's what you always say
The Ghosts of Girton,,the-ghosts-of-girton,the-ghosts-of-girton,THE GHOSTS OF GIRTON,T,Richard Youngs,,
The Past Is Our Plaything,,the-past-is-our-plaything,the-past-is-our-plaything,THE PAST IS OUR,T,Dean Wareham,,
Them,,them,them,THEM,T,,,
This Car Climbed Mt. Washington,,this-car-climbed-mt-washington,this-car-climbed-mt-washington,THIS CAR CLIMBED MT. WASHINGTON,T,,,
This Changing World,,this-changing-world,this-changing-world,THIS CHANGING WORLD,T,J.C. Oliver,(information required),
This Time Around,,this-time-around,this-time-around,THIS TIME AROUND,T,,,you spent the night<br />in a steel hotel<br />where the birds whistled<br />where the birds whistled<br />you have to wonder<br />what's goin' on<br />and maybe this time<br />you're overdrawn<br /><br />this time around<br />the pressure's on<br />you hope for happiness<br />your hand are scarred<br /><br />i've seen your girl<br />you think she's cute<br />don't make her crazy<br />don't make her sad<br />the sky is painted<br />deep shade of blue<br />i hope for happiness <br />this time around<br />the pressure's on<br />you hope for happiness<br />your hand are scarred
Threw It Away,,threw-it-away,threw-it-away,THREW IT AWAY,T,Angel Corpus Christi,Angel Corpus Christi,new york city i was born and raised<br />and i threw it away<br />nuthing to do but play guitar all day<br />and i threw it away<br />i threw it away to ride horses<br />but i had to give it up eventually<br />and i never ever thought it could happen<br />but you know those horses they were riding me<br /><br />oh i threw it away<br /><br />i had a love you don't find everyday<br />and i threw it away<br />ten thousand dollars i had managed to save<br />and i threw it away<br />i threw it away on the ocean<br />and then i threw it away on the sky<br />so what do i need with the ocean<br />and what do i need with the sky<br /><br />threw it away<br />i threw it away<br /><br />new york city i was born and raised<br />and i threw it away<br />nuthing to do but play guitar all day<br />and i threw it away<br />i threw it away on the ocean<br />and then i threw it away on the sky<br />so what do i need with the ocean<br />and what do i need with the sky <br /><br />i threw it away<br />so sad i threw it away
The Ticking is The Bomb,,the-ticking-is-the-bomb,the-ticking-is-the-bomb,TICKING IS THE BOMB,T,Dean Wareham,,
Tiger Lily,,tiger-lily,tiger-lily,TIGER LILY,T,,,sweet obscenity<br />bring her back to me<br />lost in her perfume<br />think i'm gonna sue<br />sweet obscenity<br />didn't i know it<br />didn't i call her name<br /><br />stale cigarettes<br />crumble in your fingers<br />caught with a drink in my hand<br />edging to the door<br />sweet obscenity<br />didn't i know it<br />didn't i call her name<br /><br />tiger lily girl<br />standin' cross-eyed in the corner<br />tiger lily girl<br />standin toungue tied in the corner<br /><br />somethin' in her eye<br />tells that i should try<br />somethin' she might say<br />tells right away<br />somethin' in her eye<br />didn't i know it<br />didn't i call her name<br /><br />tiger lily girl<br />standin' cross-eyed in the corner<br />tiger lily girl<br />standin toungue tied in the corner
Time,Cagney & Lacee,time-cagney--lacee,time-2,TIME,T,Michael Merchant,Jimmie Rodgers,"Some people run, some people crawl,<br />Some people don't even move at all,<br />Some roads lead forwards, some roads lead back,<br />Some roads are bathed in light, some wrapped in fearful black.<br /><br />Time, oh time, where did you go?<br />Time, oh good, good time where did you go?<br /><br />Some people never get, and some never give,<br />Some people never die, and some never live,<br />Some folks they treat me mean, some treat me kind,<br />Most folks just go there way, don't pay me no mind.<br /><br />Time, oh time, where did you go<br />Time, oh good, good time where did you go?<br /><br />Sometimes I'm satisfied, sometimes I'm not,<br />Sometimes my face is cold, sometimes it's hot,<br />At sunset I laugh, but at sunrise I cry,<br />At midnight I'm in between and wondering why.<br /><br />Time, oh time, where did you go<br />Time, oh good, good time where did you go?.. <br /><br />Time, oh time, where did you go<br />Time, oh good, good time where did you go?.. <br />"
Time,,time,time,TIME,T,,,"Time bends and slows ....<br />.... and I<br />Know that you're mine and then<br />Solely roll on through the night<br /><br />Time, time<br />On through the night<br />Time, time<br /><br />Each day goes so fast<br />The summer is now past<br />I'm standin in garbage<br />And solely roll on through the night<br /><br />Time, time<br />On through the night<br />Time, time<br /><br />Time, time, time<br />When you were mine, mine, mine<br />All through the time, time, time<br />When you were mine, mine, mine"
Time to Quit,,time-to-quit,time-to-quit,TIME TO QUIT,T,,,It's gettin warm already<br />We're goin for a ride<br />I love the Motel 6's<br />I'm feelin pacified<br /><br />Forget about your parents<br />They never cared a bit<br />Leave the doctors behind you<br />I think it's time to quit
Time Won't Own Me,,time-wont-own-me,time-won-t-own-me,TIME WON'T OWN ME,T,Krukowski/Yang,,
Tomato Poodle,,tomato-poodle,tomato-poodle,TOMATO POODLE,T,,,
Tomorrow Is a Long Time,,tomorrow-is-a-long-time,tomorrow-is-a-long-time,TOMORROW IS A LONG TIME,T,Bob Dylan,Bob Dylan,
Tour Of The World,,tour-of-the-world,tour-of-the-world,TOUR OF THE WORLD,T,,,
Towards Tomorrow,,towards-tomorrow,towards-tomorrow,TOWARDS TOMORROW,T,Krukowski/Yang,,
Tracy and Brooke,,tracy-and-brooke,tracy-brooke,TRACY AND BROOKE,T,Wareham/Phillips,,
Tracy and Tony,,tracy-and-tony,tracy-and-tony,TRACY AND TONY,T,Wareham/Phillips,,
Tracy I Love You,,tracy-i-love-you,tracy-i-love-you,TRACY I LOVE YOU,T,,,Tell me stories on my birthday <br />Buy me gifts on Halloween <br />She's pretending not know me <br />But I know where she's been <br /><br />Change your name and change <br />Your number <br />I'm gonna find you anyhow <br />I have been through all your things <br />Asking when and how and why <br /><br />I spend too much time in airplanes <br />Eating peanuts <br />And getting high <br />Don't know why I can't stop smiling <br />When I only need to cry
Tracy in New York,,tracy-in-new-york,tracy-in-new-york,TRACY IN NEW YORK,T,Wareham/Phillips,,
Translucent Carriages,,translucent-carriages,translucent-carriages,TRANSLUCENT CARRIAGES,T,Tom Rapp,Pearls Before Swine,
Tugboat,,tugboat,tugboat,TUGBOAT,T,Krukowski/Wareham/Yang,,I don't wanna stay at your party<br />I don't wanna talk with your friends<br />I don't wanna vote for your president<br />I just wanna be your tugboat captain<br /><br />There's a place I'd like to be<br />There's a place I'd like to be<br />There's a place I'd like to be<br />There's a place I'd be happy<br />There's a place I'd like to be<br />There's a place I'd like to be<br />There's a place I'd like to be<br />There's a place I'd be happy
Turn Of The Century,,turn-of-the-century,turn-of-the-century,TURN OF THE CENTURY,T,,,
The Turnaround,,the-turnaround,the-turnaround,TURNAROUND,T,Krukowski/Yang,,Up all night<br />Just to feel the breeze<br />An attic room<br />Closed for centuries<br />The turnaround<br />The change of key<br />The open door<br />You gave to me<br />A dusty book<br />With tipped-in plates<br />Brushes dipped<br />In fresh white paint<br />An open door<br />Might lead you<br />A million miles away<br />But this heart will stay<br />Beside you
23 Minutes in Brussels,,23-minutes-in-brussels,23-minutes-in-brussels,TWENTY THREE MINUTES IN BRUSSELS,T,,,left my hotel in the city<br />everything was clear and set<br />you were on your way and sittin' pretty<br />that was just a bait and switch<br /><br />say a prayer<br />for you and me<br />say a prayer<br />tell me do you miss me<br /><br />23 minutes in brussels<br />why can't they just leave us alone<br />are we gonna to get into a tussel<br />cannot take an airplane home<br /><br />say a prayer<br />for you and me<br />say a prayer<br />tell me do you miss me<br />(repeat)
Ueno Station,,ueno-station,ueno-station,UENO STATION,U,,,
Under Skys,,under-skys,under-skys,UNDER SKYS,U,John Pollano,Lazy Smoke,
(unknown),,unknown,unknown,UNKNOWN,U,,,
US Out Of My Pants,,us-out-of-my-pants,us-out-of-my-pants,US OUT OF MY PANTS,U,,,sandpaper tongue inside my ear<br />tiny hands and bloodshot eyes<br />I feel so sexy<br />with your boot in my crotch<br />five o'clock shadow<br />six o'clock news<br /><br />East Bay Ray<br />and Ruby Foo<br />said USA get out of my pants!<br />we made the world safe <br />for the cable news network <br />light another pill <br />the house is on fire
Victory Garden,,victory-garden,victory-garden,VICTORY GARDEN,V,Red Crayola,Red Crayola,"Last night in your window<br />sitting I saw you<br />Oh Adolf, I know the serious virgin does adore you<br />Won't you come back home tonight<br />Can't you see everything's going to be alright?<br />Oh Adolf, don't say you've said goodbye now<br />Don't say you've said goodbye now<br />Oh don't say you've said goodbye<br />Your suit of chrome it once shined so bright<br />Told me you were out of sight<br />The serious virgin she waits for you tonight<br />Oh, don't say you've said goodbye now<br />Don't say you've said goodbye now<br />Oh Adolf, don't say you've said good bye"
Wait for Me,,wait-for-me,wait-for-me,WAIT FOR ME,W,,,
Waiting On A Friend,,waiting-on-a-friend,waiting-on-a-friend,WAITING ON A FRIEND,W,Jagger/Richards,Rolling Stones,
Walk On The Wild Side,,walk-on-the-wild-side,walk-on-the-wild-side,WALK ON THE WILD SIDE,W,Lou Reed,Lou Reed,
(Walkin' Thru The) Sleepy City,,walkin-thru-the-sleepy-city,walkin-thru-the-sleepy-city,WALKIN' THRU THE SLEEPY CITY,W,Jagger/Richards,The Rolling Stones,
Walking Backwards,,walking-backwards,walking-backwards,WALKING BACKWARDS,W,Krukowski/Yang,,
Walking Song,,walking-song,walking-song,WALKING SONG,W,Krukowski/Wareham/Yang,,
Wand'rin' Star,,wandrin-star,wandrin-star,WANDRIN STAR,W,Alan J. Lerner / Frederick Loewe,Lee Marvin,
Watashi No Hana,,watashi-no-hana,watashi-no-hana,WATASHI NO HANA,W,Tomokawa Kazuki,,
Way Up High,,way-up-high,way-up-high,WAY UP HIGH,W,Krukowski/Wareham/Yang,,"Down to the club<br />Up on the roof<br />I missed the band<br />Why so aloof?<br /><br />Way up high and goin too fast<br />Way up, way up high<br /><br />Open your eyes<br />Come see my quilt<br />Big as the bed<br />Look what I built<br /><br />Way up high and goin too fast<br />Way up, way up high"
Wayfaring Stranger,,wayfaring-stranger,wayfaring-stranger,WAYFARING STRANGER,W,traditional,,
We're Both Confused,,were-both-confused,we-re-both-confused,WE'RE BOTH CONFUSED,W,,,Things I did<br />Haunt me still<br />Follow me around<br />Like they know the way<br /><br />Things she said<br />Linger on<br />Hanging in the air<br />And they will not go away<br /><br />I thought I knew her game<br />I miss her just the same<br /><br />Thought I knew<br />What to do<br />She broke my window pane<br />But she said I couldn't prove<br /><br />I look at my dog<br />We're both confused<br />I love September best<br />And I feel like I should move<br /><br />I thought I knew her game<br />I miss her just the same
We're Not Supposed to Be Lovers,,were-not-supposed-to-be-lovers,we-re-not-supposed-to-be-lovers,WE'RE NOT SUPPOSED TO BE LOVERS,W,Adam Green,Adam Green,
We're Not There,,were-not-there,we-re-not-there,WE'RE NOT THERE,W,,,
Weird And Woozy,,weird-and-woozy,weird-and-woozy,WEIRD AND WOOZY,W,,,When silver shadows crawl<br />Feeling ten feet tall<br />Drifting in a dusty zone<br />Drifting in a dusty zone<br />(That's when it's over that's when you know)<br /><br />There's a sadness in your eye<br />There's a secret in your side<br />A sadness in your eye<br />And a secret in your side<br /><br />Chorus<br /><br />Dear Victoria did you know<br />You speak Spanish in your sleep<br />I smoke cigarettes in bed<br />Blowing smoke on your head<br />(That's when it's over that's when you know)
The Well,,the-well,the-well,WELL,W,Krukowski/Yang,,"And the spell it was broken<br />And I saw with my own eyes<br />I never knew that the water could rise so very high<br />There was a time I remember<br />There was a time it was otherwise<br />There was a time that the water didn't rise and rise<br />But the wide open water leads to the sea<br />The wide open water can set you free<br />I never learned to turn my boat<br />Into the waves to survive<br />I let the cruel, cruel water just rise and rise<br />Was there a time, can I remember?<br />Was there a time when it was otherwise?<br />Was there a time that the water didn't rise so very high?<br />But the wide open water leads to the sea<br />The wide open water can set you free"
Well... All Right,,well-all-right,well-all-right,WELL...ALL RIGHT,W,Holly/Allison/Petty/Mauldin,Buddy Holly and The Crickets,
West Broadway,,west-broadway,west-broadway,WEST BROADWAY,W,,,
What She Brings,,what-she-brings,what-she-brings,WHAT SHE BRINGS,W,Krukowski/Yang,,
When I Remembered,,when-i-remembered,when-i-remembered,WHEN I REMEMBERED,W,,,
When Will You Come Home,,when-will-you-come-home,when-will-you-come-home,WHEN WILL YOU COME HOME,W,Krukowski/Wareham/Yang,,"When, when will you come home?<br />Watchin t.v. all alone<br />Watchin Kojak on my own<br />Starin at the wall<br />And waitin for your call<br />When, when will you come home?<br /><br />Now, I'm crawlin on the floor<br />Makin noises like a dog<br />Makin noises you can't hear<br />Starin at the wall<br />And waitin for your call<br />When, when will you come home?"
While My Guitar Gently Weeps,,while-my-guitar-gently-weeps,while-my-guitar-gently-weeps,WHILE MY GUITAR GENTLY WEEPS,W,George Harrison,,
Whispering Pines,,whispering-pines,whispering-pines,WHISPERING PINES,W,R. Manuel/R. Robertson,"Band, The",
Whispers,,whispers,whispers,WHISPERS,W,,,"There's a train of thought <br />Making all the local stops <br />Here's where I get off <br />That is where I fall <br />There's a rule of thumb <br />That comes in handy <br />It isn't just your word <br />It's who you give it to <br /><br />Can you hear the whispers?<br />The deafening whispers <br />Can you hear the whispers?<br />Ganging up on me <br /><br />Airport time <br />Moves so quickly <br />In the airport lights <br />We look so sickly <br />Remember the caress <br />Of your magical fingers <br />I did a foolish thing <br />I must be a fool <br /><br />My mind is playing tricks on me,<br />My life is catchin' up with me <br />It's so damn hard to disentangle <br />My emotions <br />If we ask for the impossible,<br />Maybe they will give it to us <br />Could it really be...<br />Our luck is coming back?"
White Christmas,,white-christmas,white-christmas,WHITE CHRISTMAS,W,Irving Berlin,Bing Crosby,"I'm dreaming of a white Christmas<br />Just like the ones I used to know <br />Where the treetops glisten, <br />and children listen <br />To hear sleigh bells in the snow<br /><br />I'm dreaming of a white Christmas <br />With every Christmas card I write <br />May your days be merry and bright <br />And may all your Christmases be white <br /><br />I'm dreaming of a white Christmas <br />With every Christmas card I write <br />May your days be merry and bright <br />And may all your Christmases be white<br />"
White Horses,,white-horses,white-horses,WHITE HORSES,W,Carr/Nisbet,Jacky,
Who Am I,,who-am-i,who-am-i,WHO AM I,W,J. McDonald,Country Joe and The Fish,
Why Are We in Vietnam?,,why-are-we-in-vietnam?,why-are-we-in-vietnam,WHY ARE WE IN VIETNAM,W,Dean Wareham,,
The Wind's Twelve Quarters,,the-winds-twelve-quarters,the-wind-s-twelve-quarters,WIND'S TWELVE QUARTERS,W,Michio Kurihara/You Ishihara,Michio Kurihara,
Winter is Blue,,winter-is-blue,,WINTER IS BLUE,W,Vashti Bunyan,Vashti Bunyan,
Within These Walls,,within-these-walls,within-these-walls,WITHIN THESE WALLS,W,Krukowski/Yang,,"When I hold my hand above the flame<br />When I hold my breath beneath the wave<br />Come to me, find me there<br />Come save me, find me there<br />All I have is you<br />In this world too unkind<br />In this place too cold<br />In this night that is too long<br />When I lose sight of what is real<br />When I can't escape the way I feel<br />Come to me, find me there<br />Come save me, find me there<br />All I have is you<br />In this world too unkind<br />In this place too cold<br />In this night that is too long"
Wood Island Park and Neptune Road,,wood-island-park-and-neptune-road,,WOOD ISLAND PARK AND NEPTUNE ROAD,W,Naomi Yang,,
